,actor,episod,season
383,Matthew Perry,E8,S2
384,David Schwimmer,E8,S2
385,Lauren Tom,E8,S2
386,Michael McKean,E8,S2
387,James Michael Tyler,E8,S2
388,Jennifer Aniston,E9,S2
389,Courteney Cox,E9,S2
390,Lisa Kudrow,E9,S2
391,Matt LeBlanc,E9,S2
392,Matthew Perry,E9,S2
393,David Schwimmer,E9,S2
394,Audra Lindley,E9,S2
395,Mike Hagerty,E9,S2
396,James Michael Tyler,E9,S2
397,Jennifer Aniston,E10,S2
398,Courteney Cox,E10,S2
399,Lisa Kudrow,E10,S2
400,Matt LeBlanc,E10,S2
401,Matthew Perry,E10,S2
402,David Schwimmer,E10,S2
403,Lauren Tom,E10,S2
404,Vincent Ventresca,E10,S2
405,June Gable,E10,S2
406,Scott Stewart,E10,S2
407,James Michael Tyler,E10,S2
408,Jennifer Aniston,E11,S2
409,Courteney Cox,E11,S2
410,Lisa Kudrow,E11,S2
411,Matt LeBlanc,E11,S2
412,Matthew Perry,E11,S2
413,David Schwimmer,E11,S2
414,Marlo Thomas,E11,S2
415,Jane Sibbett,E11,S2
416,Jessica Hecht,E11,S2
417,Phil Leeds,E11,S2
418,Candace Gingrich,E11,S2
419,Symba,E11,S2
420,Lea DeLaria,E11,S2
421,Jenny Inge,E11,S2
422,James Michael Tyler,E11,S2
423,Jennifer Aniston,E12,S2
424,Courteney Cox,E12,S2
425,Lisa Kudrow,E12,S2
426,Matt LeBlanc,E12,S2
427,Matthew Perry,E12,S2
428,David Schwimmer,E12,S2
429,Chris Isaak,E12,S2
430,Brooke Shields,E12,S2
431,Dan Castellaneta,E12,S2
432,Fred Willard,E12,S2
433,Roark Critchlow,E12,S2
434,Sean Masterson,E12,S2
435,Tahj Mowry,E12,S2
436,Lawrence A. Mandley,E12,S2
437,D. Elliot Woods,E12,S2
438,Karman Kruschke,E12,S2
439,Kevin Bright,E12,S2
440,David Crane,E12,S2
441,Jennifer Aniston,E13,S2
442,Courteney Cox,E13,S2
443,Lisa Kudrow,E13,S2
444,Matt LeBlanc,E13,S2
445,Matthew Perry,E13,S2
446,David Schwimmer,E13,S2
447,Julia Roberts,E13,S2
448,Jean-Claude Van Damme,E13,S2
449,Lisa Roberts Gillan,E13,S2
450,Seth Isler,E13,S2
451,Steven M. Porter,E13,S2
452,Kevin Bright,E13,S2
453,David Crane,E13,S2
454,Katie,E13,S2
455,Marta Kauffman,E13,S2
