,title,description,season,episod,rating,vote,date
146, The One with Monica's Thunder,They all celebrate Monica and Chandler's engagement but Ross and Rachel upstage them by kissing. Joey dresses and acts like a nineteen-year-old for a role and Phoebe tries to persuade Monica and Chandler to let her sing at their wedding.,S7,E1,"8,2","4,9 k","jeu., 12 oct. 2000"
147, The One with Rachel's Book,"Monica learns her parents have spent her entire wedding fund. Phoebe temporarily moves into Ross's apartment, bringing her massage clients with her. Joey mocks Rachel when he finds an erotic novel she is reading.",S7,E2,"8,1","4,6 k","jeu., 12 oct. 2000"
148, The One with Phoebe's Cookies,"Monica tries to figure out Phoebe's grandmother's secret cookie recipe. Meanwhile, Rachel tries to teach Joey how to sail, and Chandler has an awkward encounter when he tries to bond with Jack.",S7,E3,"7,9","4,6 k","jeu., 19 oct. 2000"
149, The One with Rachel's Assistant,"Chaos ensues when Monica and Chandler decide to share each other's secrets. Rachel gets a promotion and interviews for an assistant. Joey is offered the chance to go back on ""Days of Our Lives"".",S7,E4,"7,9","4,6 k","jeu., 26 oct. 2000"
150, The One with the Engagement Picture,"Chandler struggles to photograph well for his and Monica's engagement picture. Joey teaches Tag how to pick up women, much to Rachel's annoyance. Phoebe and Ross date a couple who are divorcing.",S7,E5,"7,9","4,5 k","jeu., 2 nov. 2000"
151, The One with the Nap Partners,"Joey and Ross accidentally take a nap together - and much to their dismay, find that they like it. Phoebe and Rachel compete to become Monica's maid of honor.",S7,E6,"8,7","5,4 k","jeu., 9 nov. 2000"
152, The One with Ross's Library Book,"Ross and Chandler discover a section of the library where students go to have sex. Monica and Chandler run into Janice and she invites herself to the wedding. They try to avoid her. Meanwhile, Rachel and Phoebe befriend Joey's girlfriend.",S7,E7,"8,3","4,7 k","jeu., 16 nov. 2000"
153, The One Where Chandler Doesn't Like Dogs,"Ross struggles to name all 50 states in a game. Joey compromises Rachel's chances with her crush, Tag, during Thanksgiving dinner. Phoebe sneaks a dog into the apartment, making Chandler extremely nervous.",S7,E8,"8,0","4,5 k","jeu., 23 nov. 2000"
154, The One with All the Candy,"Monica makes candy to get to know her neighbours, Rachel and Tag try to hide their relationship at work and Ross buys Phoebe a bike.",S7,E9,"7,9","4,5 k","jeu., 7 déc. 2000"
155, The One with the Holiday Armadillo,"Ross wants to introduce Ben to Hanukkah. In order to entice Rachel to move back into their refurbished apartment, Phoebe must drive a wedge between Rachel and current roomie Joey.",S7,E10,"8,4",5 k,"jeu., 14 déc. 2000"
